t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2223.06,0.757324,-0.22998,1.12939,-2.80762,-0.610352,-15.0757,1
2223.07,0.793945,-0.298828,1.11084,-2.31934,-0.549316,-15.564,1
2223.08,0.781738,-0.274414,1.0498,-2.0752,-0.549316,-16.0522,1
2223.08,0.796387,-0.291016,1.01514,-1.70898,-0.488281,-16.6016,1
2223.09,0.792969,-0.289062,1.04102,-1.89209,-0.427246,-17.2119,1
2223.1,0.783203,-0.307617,1.02832,-1.83105,-0.427246,-17.7002,1
2223.11,0.762695,-0.26709,1.0376,-1.70898,-0.427246,-18.1885,1
2223.12,0.705566,-0.280762,1.00146,-1.46484,-0.427246,-18.6157,1
2223.13,0.721191,-0.276367,0.94043,-0.610352,-0.305176,-19.165,1
2223.14,0.741211,-0.32959,0.95459,0.305176,0,-19.7144,1
2223.15,0.80957,-0.321289,0.96582,1.58691,0.0610352,-20.2026,1
2223.16,0.781738,-0.303711,0.949707,1.52588,0.12207,-20.5688,1
2223.17,0.775391,-0.324707,0.958496,0.854492,0.0610352,-20.9351,1
2223.18,0.736816,-0.253906,0.946289,0,0.366211,-21.3013,1
2223.19,0.76416,-0.357422,0.887207,-0.610352,0.671387,-21.6064,1
2223.2,0.760742,-0.370117,0.890625,0.0610352,0.976562,-21.7896,1
2223.21,0.785645,-0.34668,0.904785,-0.0610352,1.09863,-21.9727,1
2223.22,0.789551,-0.362793,0.975586,-0.305176,1.2207,-22.1558,1
2223.23,0.770996,-0.30127,1.01611,-1.34277,1.15967,-22.3389,1
2223.24,0.731445,-0.359863,0.930664,-2.31934,1.28174,-22.3999,1
2223.25,0.76123,-0.371094,0.899902,-2.62451,1.46484,-22.4609,1
2223.26,0.725098,-0.435059,0.911133,-2.44141,1.83105,-22.583,1
2223.27,0.75293,-0.425293,0.964355,-1.52588,2.0752,-22.8271,1
2223.28,0.754883,-0.327148,1.03369,-2.2583,2.2583,-22.9492,1
2223.29,0.719238,-0.391113,1.04736,-3.41797,2.38037,-22.8882,1
2223.3,0.656738,-0.442383,1.02979,-3.60107,2.50244,-23.0103,1
2223.31,0.667969,-0.391113,0.984863,-3.54004,2.62451,-23.1934,1
2223.32,0.669922,-0.471191,0.96582,-3.35693,2.92969,-23.3765,1
2223.33,0.645996,-0.479492,1.021,-2.44141,2.99072,-23.4985,1
2223.34,0.591797,-0.362793,1.07178,-2.68555,3.05176,-23.5596,1
2223.35,0.594727,-0.434082,1.04785,-3.17383,2.99072,-23.6816,1
2223.36,0.619629,-0.458496,1.03564,-2.2583,2.80762,-23.7427,1
2223.37,0.608398,-0.439453,1.01758,-2.0752,2.62451,-23.8647,1
2223.38,0.568848,-0.515625,0.984375,-1.52588,2.50244,-24.0479,1
2223.39,0.540527,-0.474609,1,-1.15967,2.31934,-24.231,1
2223.4,0.527832,-0.453613,1.04443,-1.52588,2.0752,-24.353,1
2223.41,0.564941,-0.476074,1.08154,-1.15967,2.13623,-24.353,1
2223.42,0.574219,-0.488281,1.06299,-0.244141,2.13623,-24.292,1
2223.43,0.555176,-0.46875,0.995605,0.244141,2.19727,-24.292,1
2223.44,0.524414,-0.499023,0.959473,-0.183105,2.2583,-24.292,1
2223.45,0.537109,-0.540527,1.02246,0.549316,2.19727,-24.231,1
2223.46,0.5625,-0.307617,1.04248,-0.183105,2.2583,-24.5361,1
2223.47,0.580566,-0.519043,0.98877,-1.83105,2.01416,-24.4751,1
2223.47,0.521973,-0.52002,0.892578,0,1.89209,-24.292,1
2223.48,0.495117,-0.302734,0.874512,-0.427246,1.52588,-24.4751,1
2223.49,0.570312,-0.515137,0.936523,-0.854492,0.976562,-24.6582,1
2223.5,0.620117,-0.415527,1.03613,0.183105,0.793457,-24.7803,1
2223.51,0.55957,-0.390137,0.98584,-1.77002,0.732422,-24.7803,1
2223.52,0.469727,-0.628418,0.929688,-1.2207,0.671387,-24.6582,1
