run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
2,Sport+,1009.08,1.03564,-1.65081
2,Sport+,1009.12,1.0277,-1.82246
2,Sport+,1010.88,-0.822905,-1.54701
2,Sport+,1010.92,-0.818734,-1.44851
2,Sport+,1010.96,-0.813527,-1.80329
2,Sport+,1011,-0.812002,-1.89152
2,Sport+,1011.04,-0.809472,-2.09832
2,Sport+,1011.08,-0.808511,-2.49625
2,Sport+,1011.12,-0.809134,-2.74523
2,Sport+,1011.16,-0.807298,-3.02232
2,Sport+,1011.2,-0.800493,-3.57956
2,Sport+,1011.4,-0.724228,-6.15861
2,Sport+,1011.44,-0.715708,-5.61632
2,Sport+,1011.48,-0.710488,-4.94321
2,Sport+,1011.52,-0.705878,-4.34609
2,Sport+,1011.56,-0.70386,-3.49313
2,Sport+,1011.6,-0.700319,-3.07118
2,Sport+,1011.64,-0.699175,-2.84752
2,Sport+,1011.68,-0.697267,-2.50211
2,Sport+,1011.72,-0.695899,-2.35402
2,Sport+,1011.76,-0.699129,-2.11163
2,Sport+,1011.8,-0.70362,-1.7934
2,Sport+,1011.84,-0.708919,-1.20061
2,Sport+,1011.88,-0.714359,-0.429644
2,Sport+,1012.76,0.824352,-3.82913
2,Sport+,1012.8,0.83001,-2.22812
2,Sport+,1012.84,0.828053,1.93839
2,Sport+,1012.96,0.789051,6.66358
2,Sport+,1013,0.780367,4.8174
2,Sport+,1013.04,0.78253,2.7126
2,Sport+,1013.08,0.791614,1.75185
2,Sport+,1013.12,0.801819,1.86285
2,Sport+,1013.16,0.810063,2.58287
2,Sport+,1013.2,0.817196,2.6844
2,Sport+,1013.24,0.823524,2.48464
2,Sport+,1013.28,0.833832,1.49476
2,Sport+,1013.4,0.869126,0.641157
2,Sport+,1013.44,0.873667,1.52598
2,Sport+,1013.48,0.874122,2.58307
2,Sport+,1013.52,0.868056,3.66192
2,Sport+,1013.56,0.856978,4.17391
2,Sport+,1014.24,-0.981455,-1.41835
2,Sport+,1014.28,-0.980933,1.41112
2,Sport+,1014.32,-0.976724,3.66198
2,Sport+,1014.48,-0.927304,-3.80781
2,Sport+,1014.52,-0.925137,-3.05356
2,Sport+,1014.96,-0.963763,4.32372
2,Sport+,1015,-0.959867,3.00462
2,Sport+,1015.04,-0.949974,0.89895
2,Sport+,1015.08,-0.940282,-0.678618
2,Sport+,1015.68,0.936932,4.93378
2,Sport+,1017.72,0.78967,5.57842
2,Sport+,1017.76,0.799557,5.12108
2,Sport+,1017.8,0.806589,4.49534
2,Sport+,1017.84,0.813126,4.30628
2,Sport+,1017.88,0.819307,4.98618
2,Sport+,1017.92,0.825417,5.83113
2,Sport+,1017.96,0.827185,6.40565
2,Sport+,1018,0.825742,6.42559
2,Sport+,1018.16,0.774318,7.70854
2,Sport+,1018.2,0.767877,7.55197
2,Sport+,1018.24,0.770347,6.26637
2,Sport+,1018.28,0.778027,4.80224
2,Sport+,1018.44,0.841964,3.17056
2,Sport+,1018.48,0.852755,3.63274
2,Sport+,1018.52,0.857804,3.91008
2,Sport+,1018.56,0.865975,3.60293
2,Sport+,1018.6,0.872154,2.72962
2,Sport+,1018.64,0.875939,1.7715
2,Sport+,1018.68,0.882766,0.878264
2,Sport+,1018.72,0.890683,0.778421
2,Sport+,1018.76,0.902354,1.08917
2,Sport+,1018.8,0.910812,1.9169
2,Sport+,1018.84,0.917738,2.47965
2,Sport+,1018.88,0.920902,2.35658
2,Sport+,1018.92,0.91672,2.72159
2,Sport+,1018.96,0.908972,3.97585
2,Sport+,1019,0.89772,5.93289
2,Sport+,1019.04,0.889528,7.36183
2,Sport+,1019.08,0.884196,7.70015
2,Sport+,1019.12,0.880953,6.38179
2,Sport+,1019.16,0.875759,4.27932
2,Sport+,1019.2,0.870801,2.58155
2,Sport+,1019.36,0.814037,10.0265
2,Sport+,1019.4,0.808298,10.4509
2,Sport+,1019.44,0.809469,9.28702
2,Sport+,1019.48,0.818184,7.19875
2,Sport+,1019.56,0.84358,5.59536
2,Sport+,1019.6,0.849612,6.1019
2,Sport+,1019.64,0.848376,6.55845
2,Sport+,1019.84,0.771357,4.5005
2,Sport+,1019.88,0.763374,4.61411
2,Sport+,1019.92,0.763863,4.24138
2,Sport+,1020.04,0.805068,1.15924
2,Sport+,1020.08,0.812117,1.85394
2,Sport+,1020.12,0.811647,3.59339
2,Sport+,1020.16,0.809591,5.01721
2,Sport+,1020.2,0.802133,6.00028
2,Sport+,1020.24,0.792106,6.04829
2,Sport+,1020.28,0.78315,5.35369
2,Sport+,1020.32,0.778913,4.11761
2,Sport+,1020.36,0.775839,3.50518
2,Sport+,1020.4,0.771999,3.7861
2,Sport+,1020.44,0.769594,4.2131
2,Sport+,1020.48,0.764953,4.92105
2,Sport+,1020.52,0.759775,4.63212
2,Sport+,1020.56,0.752407,3.68102
2,Sport+,1020.6,0.747926,2.68354
2,Sport+,1020.64,0.747093,1.88452
2,Sport+,1020.68,0.748917,1.74265
2,Sport+,1020.72,0.75836,2.39849
2,Sport+,1020.8,0.78547,2.15756
2,Sport+,1020.84,0.795301,2.05353
2,Sport+,1020.88,0.803867,2.07751
2,Sport+,1020.92,0.809958,2.18419
2,Sport+,1020.96,0.81655,2.09114
2,Sport+,1021,0.825599,1.74183
2,Sport+,1021.04,0.832859,1.33223
2,Sport+,1021.08,0.842981,1.15968
2,Sport+,1021.12,0.852983,1.3942
2,Sport+,1021.16,0.860745,2.09172
2,Sport+,1021.2,0.864073,2.81143
2,Sport+,1021.24,0.869854,2.98234
2,Sport+,1021.28,0.874011,2.39222
2,Sport+,1021.56,0.999522,-2.31177
2,Sport+,1021.6,1.00786,-2.16833
2,Sport+,1021.64,1.01161,-2.32705
2,Sport+,1021.68,1.01465,-2.49827
2,Sport+,1021.72,1.01414,-2.29414
2,Sport+,1021.76,1.01045,-1.73765
2,Sport+,1021.8,1.00963,-1.22752
2,Sport+,1021.84,1.00943,-0.4737
2,Sport+,1021.88,1.00369,0.427683
2,Sport+,1022.24,0.833721,7.56183
2,Sport+,1022.28,0.827385,6.83444
2,Sport+,1022.32,0.825784,5.72655
2,Sport+,1022.36,0.827737,4.64972
2,Sport+,1022.4,0.828839,4.19546
2,Sport+,1022.44,0.828602,4.44362
2,Sport+,1022.48,0.8248,5.23536
2,Sport+,1022.52,0.817215,6.30197
2,Sport+,1022.56,0.806428,7.66306
2,Sport+,1023.32,-0.742287,-3.53591
2,Sport+,1023.68,-0.620095,-3.93983
2,Sport+,1023.72,-0.610385,-3.98956
2,Sport+,1023.76,-0.607236,-4.22365
2,Sport+,1023.8,-0.611246,-3.81475
2,Sport+,1023.96,-0.661016,-1.33316
2,Sport+,1024,-0.665171,-2.12009
2,Sport+,1024.04,-0.664862,-2.7536
2,Sport+,1024.08,-0.660515,-2.70712
2,Sport+,1024.12,-0.655347,-2.14014
2,Sport+,1029.6,-0.849621,-1.0594
2,Sport+,1029.64,-0.848463,-1.52592
2,Sport+,1029.68,-0.840955,-2.29529
2,Sport+,1029.72,-0.830195,-2.96461
2,Sport+,1029.76,-0.82073,-3.27863
2,Sport+,1029.8,-0.809619,-3.75059
2,Sport+,1029.84,-0.802579,-4.43137
2,Sport+,1029.88,-0.791566,-4.76776
2,Sport+,1030.2,-0.637458,-6.07636
2,Sport+,1030.24,-0.635768,-4.41057
2,Sport+,1030.28,-0.640318,-3.2531
2,Sport+,1030.84,-0.922685,3.18234
